vorlage_titel_de,urnengang_datum,thema,Parent,thema_ave,thema_count,thema1,Code,thema1_ave,thema1_count,thema2,thema3,stimmbeteiligung,ja_prozent,year,ImageURL
Änderung des Bundesgesetzes über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz),2023-06-17T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Gesundheit,1000,55.95983269,3,Grundrechte,#N/A,42.49193334,61.93883361,2023,
"Bundesgesetz über die Ziele im Klimaschutz, die Innovation und die Stärkung der Energiesicherheit (KlG)",2023-06-17T22:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Umweltpolitik,930,45.77423425,4,Energie,Strukturpolitik,42.54554339,59.06517865,2023,
Bundesbeschluss über eine besondere Besteuerung grosser Unternehmensgruppen (Umsetzung des OECD/G20-Projekts zur Besteuerung grosser Unternehmensgruppen),2023-06-17T22:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Direkte Steuern,610,50.08035786,14,Wirtschaftspolitik,#N/A,42.3746344,78.45426765,2023,
Änderung des Bundesgesetzes über die Verrechnungssteuer (Stärkung des Fremdkapitalmarkts),2022-09-24T22:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Direkte Steuern,610,50.08035786,14,"Banken, Börsen, Versicherungen",#N/A,51.70686699,47.990529,2022,Archiv/2022.png
Änderung des Bundesgesetzes über die Alters- und Hinterlassenenversicherung (AHV 21),2022-09-24T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,Stellung der Frau,#N/A,52.18534227,50.54651615,2022,
Bundesbeschluss über die Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer,2022-09-24T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,Indirekte Steuern,#N/A,52.16287009,55.07257403,2022,
Volksinitiative «Keine Massentierhaltung in der Schweiz (Massentierhaltungsinitiative)»,2022-09-24T22:00:00Z,Landwirtschaft,500,46.31987628,38,Tierische Produktion,500,44.05493124,9,Tierschutz,#N/A,52.27688889,37.13419324,2022,
Übernahme der EU-Verordnung über die Europäische Grenz- und Küstenwache (Weiterentwicklung des Schengen-Besitzstands),2022-05-14T22:00:00Z,Aussenpolitik,200,50.44954623,33,EU,220,49.92906491,10,Flüchtlinge,#N/A,39.98062927,71.47982943,2022,
"Änderung des Bundesgesetzes über die Transplantation von Organen, Geweben und Zellen (Transplantationsgesetz)",2022-05-14T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Gesundheitspolitik,1010,46.66984242,9,Grundrechte,#N/A,40.26024818,60.20256503,2022,
"Änderung des Bundesgesetzes über Filmproduktion und Filmkultur (Filmgesetz, FiG)",2022-05-14T22:00:00Z,"Kultur, Religion, Medien",1200,42.55941099,18,Kulturpolitik,1200,40.55568839,6,"Radio, Fernsehen, elektronische Medien",Strukturpolitik,40.03324515,58.4171163,2022,
